,Pclass,Age,SibSp,Parch,Fare,Sex_Id,Age_Label_Id,TtlFamMbr,Title_Id,Survived
0,3,22,1,0,7.25,0,4,1,11,0
1,1,38,1,0,71.2833,1,5,1,12,1
2,3,26,0,0,7.925,1,4,0,8,1
3,1,35,1,0,53.1,1,4,1,12,1
4,3,35,0,0,8.05,0,4,0,11,0
5,3,32,0,0,8.4583,0,4,0,11,0
6,1,54,0,0,51.8625,0,5,0,11,0
7,3,2,3,1,21.075,0,1,4,7,0
8,3,27,0,2,11.1333,1,4,2,12,1
9,2,14,1,0,30.0708,1,3,1,12,1
10,3,4,1,1,16.7,1,1,2,8,1
11,1,58,0,0,26.55,1,5,0,8,1
12,3,20,0,0,8.05,0,4,0,11,0
13,3,39,1,5,31.275,0,5,6,11,0
14,3,14,0,0,7.8542,1,3,0,8,0
15,2,55,0,0,16.0,1,5,0,12,1
16,3,2,4,1,29.125,0,1,5,7,0
17,2,32,0,0,13.0,0,4,0,11,1
18,3,31,1,0,18.0,1,4,1,12,0
19,3,35,0,0,7.225,1,4,0,12,1
20,2,35,0,0,26.0,0,4,0,11,0
21,2,34,0,0,13.0,0,4,0,11,1
22,3,15,0,0,8.0292,1,3,0,8,1
23,1,28,0,0,35.5,0,4,0,11,1
24,3,8,3,1,21.075,1,2,4,8,0
25,3,38,1,5,31.3875,1,5,6,12,1
26,3,32,0,0,7.225,0,4,0,11,0
27,1,19,3,2,263.0,0,4,5,11,0
28,3,21,0,0,7.8792,1,4,0,8,1
29,3,32,0,0,7.8958,0,4,0,11,0
30,1,40,0,0,27.7208,0,5,0,2,0
31,1,35,1,0,146.5208,1,4,1,12,1
32,3,21,0,0,7.75,1,4,0,8,1
33,2,66,0,0,10.5,0,6,0,11,0
34,1,28,1,0,82.1708,0,4,1,11,0
35,1,42,1,0,52.0,0,5,1,11,0
36,3,32,0,0,7.2292,0,4,0,11,1
37,3,21,0,0,8.05,0,4,0,11,0
38,3,18,2,0,18.0,1,3,2,8,0
39,3,14,1,0,11.2417,1,3,1,8,1
40,3,40,1,0,9.475,1,5,1,12,0
41,2,27,1,0,21.0,1,4,1,12,0
42,3,32,0,0,7.8958,0,4,0,11,0
43,2,3,1,2,41.5792,1,1,3,8,1
44,3,19,0,0,7.8792,1,4,0,8,1
45,3,32,0,0,8.05,0,4,0,11,0
46,3,32,1,0,15.5,0,4,1,11,0
47,3,21,0,0,7.75,1,4,0,8,1
48,3,32,2,0,21.6792,0,4,2,11,0
49,3,18,1,0,17.8,1,3,1,12,0
50,3,7,4,1,39.6875,0,2,5,7,0
51,3,21,0,0,7.8,0,4,0,11,0
52,1,49,1,0,76.7292,1,5,1,12,1
53,2,29,1,0,26.0,1,4,1,12,1
54,1,65,0,1,61.9792,0,6,1,11,0
55,1,32,0,0,35.5,0,4,0,11,1
56,2,21,0,0,10.5,1,4,0,8,1
57,3,28,0,0,7.2292,0,4,0,11,0
58,2,5,1,2,27.75,1,1,3,8,1
59,3,11,5,2,46.9,0,2,7,7,0
60,3,22,0,0,7.2292,0,4,0,11,0
61,1,38,0,0,80.0,1,5,0,8,1
62,1,45,1,0,83.475,0,5,1,11,0
63,3,4,3,2,27.9,0,1,5,7,0
64,1,32,0,0,27.7208,0,4,0,11,0
65,3,4,1,1,15.2458,0,1,2,7,1
66,2,29,0,0,10.5,1,4,0,12,1
67,3,19,0,0,8.1583,0,4,0,11,0
68,3,17,4,2,7.925,1,3,6,8,1
69,3,26,2,0,8.6625,0,4,2,11,0
70,2,32,0,0,10.5,0,4,0,11,0
71,3,16,5,2,46.9,1,3,7,8,0
72,2,21,0,0,73.5,0,4,0,11,0
73,3,26,1,0,14.4542,0,4,1,11,0
74,3,32,0,0,56.4958,0,4,0,11,1
75,3,25,0,0,7.65,0,4,0,11,0
76,3,32,0,0,7.8958,0,4,0,11,0
77,3,32,0,0,8.05,0,4,0,11,0
78,2,0,0,2,29.0,0,0,2,7,1
79,3,30,0,0,12.475,1,4,0,8,1
80,3,22,0,0,9.0,0,4,0,11,0
81,3,29,0,0,9.5,0,4,0,11,1
82,3,21,0,0,7.7875,1,4,0,8,1
83,1,28,0,0,47.1,0,4,0,11,0
84,2,17,0,0,10.5,1,3,0,8,1
85,3,33,3,0,15.85,1,4,3,12,1
86,3,16,1,3,34.375,0,3,4,11,0
87,3,32,0,0,8.05,0,4,0,11,0
88,1,23,3,2,263.0,1,4,5,8,1
89,3,24,0,0,8.05,0,4,0,11,0
90,3,29,0,0,8.05,0,4,0,11,0
91,3,20,0,0,7.8542,0,4,0,11,0
92,1,46,1,0,61.175,0,5,1,11,0
93,3,26,1,2,20.575,0,4,3,11,0
94,3,59,0,0,7.25,0,5,0,11,0
95,3,32,0,0,8.05,0,4,0,11,0
96,1,71,0,0,34.6542,0,6,0,11,0
97,1,23,0,1,63.3583,0,4,1,11,1
98,2,34,0,1,23.0,1,4,1,12,1
99,2,34,1,0,26.0,0,4,1,11,0
100,3,28,0,0,7.8958,1,4,0,8,0
101,3,32,0,0,7.8958,0,4,0,11,0
102,1,21,0,1,77.2875,0,4,1,11,0
103,3,33,0,0,8.6542,0,4,0,11,0
104,3,37,2,0,7.925,0,5,2,11,0
105,3,28,0,0,7.8958,0,4,0,11,0
106,3,21,0,0,7.65,1,4,0,8,1
107,3,32,0,0,7.775,0,4,0,11,1
108,3,38,0,0,7.8958,0,5,0,11,0
109,3,21,1,0,24.15,1,4,1,8,1
110,1,47,0,0,52.0,0,5,0,11,0
111,3,14,1,0,14.4542,1,3,1,8,0
112,3,22,0,0,8.05,0,4,0,11,0
113,3,20,1,0,9.825,1,4,1,8,0
114,3,17,0,0,14.4583,1,3,0,8,0
115,3,21,0,0,7.925,0,4,0,11,0
116,3,70,0,0,7.75,0,6,0,11,0
117,2,29,1,0,21.0,0,4,1,11,0
118,1,24,0,1,247.5208,0,4,1,11,0
119,3,2,4,2,31.275,1,1,6,8,0
120,2,21,2,0,73.5,0,4,2,11,0
121,3,32,0,0,8.05,0,4,0,11,0
122,2,32,1,0,30.0708,0,4,1,11,0
123,2,32,0,0,13.0,1,4,0,8,1
124,1,54,0,1,77.2875,0,5,1,11,0
125,3,12,1,0,11.2417,0,2,1,7,1
126,3,32,0,0,7.75,0,4,0,11,0
127,3,24,0,0,7.1417,0,4,0,11,1
128,3,21,1,1,22.3583,1,4,2,8,1
129,3,45,0,0,6.975,0,5,0,11,0
130,3,33,0,0,7.8958,0,4,0,11,0
131,3,20,0,0,7.05,0,4,0,11,0
132,3,47,1,0,14.5,1,5,1,12,0
133,2,29,1,0,26.0,1,4,1,12,1
134,2,25,0,0,13.0,0,4,0,11,0
135,2,23,0,0,15.0458,0,4,0,11,0
136,1,19,0,2,26.2833,1,4,2,8,1
137,1,37,1,0,53.1,0,5,1,11,0
138,3,16,0,0,9.2167,0,3,0,11,0
139,1,24,0,0,79.2,0,4,0,11,0
140,3,35,0,2,15.2458,1,4,2,12,0
141,3,22,0,0,7.75,1,4,0,8,1
142,3,24,1,0,15.85,1,4,1,12,1
143,3,19,0,0,6.75,0,4,0,11,0
144,2,18,0,0,11.5,0,3,0,11,0
145,2,19,1,1,36.75,0,4,2,11,0
146,3,27,0,0,7.7958,0,4,0,11,1
147,3,9,2,2,34.375,1,2,4,8,0
148,2,36,0,2,26.0,0,5,2,11,0
149,2,42,0,0,13.0,0,5,0,14,0
150,2,51,0,0,12.525,0,5,0,14,0
151,1,22,1,0,66.6,1,4,1,12,1
152,3,55,0,0,8.05,0,5,0,11,0
153,3,40,0,2,14.5,0,5,2,11,0
154,3,32,0,0,7.3125,0,4,0,11,0
155,1,51,0,1,61.3792,0,5,1,11,0
156,3,16,0,0,7.7333,1,3,0,8,1
157,3,30,0,0,8.05,0,4,0,11,0
158,3,32,0,0,8.6625,0,4,0,11,0
159,3,4,8,2,69.55,0,1,10,7,0
160,3,44,0,1,16.1,0,5,1,11,0
161,2,40,0,0,15.75,1,5,0,12,1
162,3,26,0,0,7.775,0,4,0,11,0
163,3,17,0,0,8.6625,0,3,0,11,0
164,3,1,4,1,39.6875,0,1,5,7,0
165,3,9,0,2,20.525,0,2,2,7,1
166,1,35,0,1,55.0,1,4,1,12,1
167,3,45,1,4,27.9,1,5,5,12,0
168,1,32,0,0,25.925,0,4,0,11,0
169,3,28,0,0,56.4958,0,4,0,11,0
170,1,61,0,0,33.5,0,6,0,11,0
171,3,4,4,1,29.125,0,1,5,7,0
172,3,1,1,1,11.1333,1,1,2,8,1
173,3,21,0,0,7.925,0,4,0,11,0
174,1,56,0,0,30.6958,0,5,0,11,0
175,3,18,1,1,7.8542,0,3,2,11,0
176,3,4,3,1,25.4667,0,1,4,7,0
177,1,50,0,0,28.7125,1,5,0,8,0
178,2,30,0,0,13.0,0,4,0,11,0
179,3,36,0,0,0.0,0,5,0,11,0
180,3,21,8,2,69.55,1,4,10,8,0
181,2,32,0,0,15.05,0,4,0,11,0
182,3,9,4,2,31.3875,0,2,6,7,0
183,2,1,2,1,39.0,0,1,3,7,1
184,3,4,0,2,22.025,1,1,2,8,1
185,1,32,0,0,50.0,0,4,0,11,0
186,3,35,1,0,15.5,1,4,1,12,1
187,1,45,0,0,26.55,0,5,0,11,1
188,3,40,1,1,15.5,0,5,2,11,0
189,3,36,0,0,7.8958,0,5,0,11,0
190,2,32,0,0,13.0,1,4,0,12,1
191,2,19,0,0,13.0,0,4,0,11,0
192,3,19,1,0,7.8542,1,4,1,8,1
193,2,3,1,1,26.0,0,1,2,7,1
194,1,44,0,0,27.7208,1,5,0,12,1
195,1,58,0,0,146.5208,1,5,0,8,1
196,3,32,0,0,7.75,0,4,0,11,0
197,3,42,0,1,8.4042,0,5,1,11,0
198,3,21,0,0,7.75,1,4,0,8,1
199,2,24,0,0,13.0,1,4,0,8,0
200,3,28,0,0,9.5,0,4,0,11,0
201,3,32,8,2,69.55,0,4,10,11,0
202,3,34,0,0,6.4958,0,4,0,11,0
203,3,45,0,0,7.225,0,5,0,11,0
204,3,18,0,0,8.05,0,3,0,11,1
205,3,2,0,1,10.4625,1,1,1,8,0
206,3,32,1,0,15.85,0,4,1,11,0
207,3,26,0,0,18.7875,0,4,0,11,1
208,3,16,0,0,7.75,1,3,0,8,1
209,1,40,0,0,31.0,0,5,0,11,1
210,3,24,0,0,7.05,0,4,0,11,0
211,2,35,0,0,21.0,1,4,0,8,1
212,3,22,0,0,7.25,0,4,0,11,0
213,2,30,0,0,13.0,0,4,0,11,0
214,3,32,1,0,7.75,0,4,1,11,0
215,1,31,1,0,113.275,1,4,1,8,1
216,3,27,0,0,7.925,1,4,0,8,1
217,2,42,1,0,27.0,0,5,1,11,0
218,1,32,0,0,76.2917,1,4,0,8,1
219,2,30,0,0,10.5,0,4,0,11,0
220,3,16,0,0,8.05,0,3,0,11,1
221,2,27,0,0,13.0,0,4,0,11,0
222,3,51,0,0,8.05,0,5,0,11,0
223,3,32,0,0,7.8958,0,4,0,11,0
224,1,38,1,0,90.0,0,5,1,11,1
225,3,22,0,0,9.35,0,4,0,11,0
226,2,19,0,0,10.5,0,4,0,11,1
227,3,20,0,0,7.25,0,4,0,11,0
228,2,18,0,0,13.0,0,3,0,11,0
229,3,21,3,1,25.4667,1,4,4,8,0
230,1,35,1,0,83.475,1,4,1,12,1
231,3,29,0,0,7.775,0,4,0,11,0
232,2,59,0,0,13.5,0,5,0,11,0
233,3,5,4,2,31.3875,1,1,6,8,1
234,2,24,0,0,10.5,0,4,0,11,0
235,3,21,0,0,7.55,1,4,0,8,0
236,2,44,1,0,26.0,0,5,1,11,0
237,2,8,0,2,26.25,1,2,2,8,1
238,2,19,0,0,10.5,0,4,0,11,0
239,2,33,0,0,12.275,0,4,0,11,0
240,3,21,1,0,14.4542,1,4,1,8,0
241,3,21,1,0,15.5,1,4,1,8,1
242,2,29,0,0,10.5,0,4,0,11,0
243,3,22,0,0,7.125,0,4,0,11,0
244,3,30,0,0,7.225,0,4,0,11,0
245,1,44,2,0,90.0,0,5,2,3,0
246,3,25,0,0,7.775,1,4,0,8,0
247,2,24,0,2,14.5,1,4,2,12,1
248,1,37,1,1,52.5542,0,5,2,11,1
249,2,54,1,0,26.0,0,5,1,14,0
250,3,32,0,0,7.25,0,4,0,11,0
251,3,29,1,1,10.4625,1,4,2,12,0
252,1,62,0,0,26.55,0,6,0,11,0
253,3,30,1,0,16.1,0,4,1,11,0
254,3,41,0,2,20.2125,1,5,2,12,0
255,3,29,0,2,15.2458,1,4,2,12,1
256,1,35,0,0,79.2,1,4,0,12,1
257,1,30,0,0,86.5,1,4,0,8,1
258,1,35,0,0,512.3292,1,4,0,8,1
259,2,50,0,1,26.0,1,5,1,12,1
260,3,32,0,0,7.75,0,4,0,11,0
261,3,3,4,2,31.3875,0,1,6,7,1
262,1,52,1,1,79.65,0,5,2,11,0
263,1,40,0,0,0.0,0,5,0,11,0
264,3,21,0,0,7.75,1,4,0,8,0
265,2,36,0,0,10.5,0,5,0,11,0
266,3,16,4,1,39.6875,0,3,5,11,0
267,3,25,1,0,7.775,0,4,1,11,1
268,1,58,0,1,153.4625,1,5,1,12,1
269,1,35,0,0,135.6333,1,4,0,8,1
270,1,32,0,0,31.0,0,4,0,11,0
271,3,25,0,0,0.0,0,4,0,11,1
272,2,41,0,1,19.5,1,5,1,12,1
273,1,37,0,1,29.7,0,5,1,11,0
274,3,21,0,0,7.75,1,4,0,8,1
275,1,63,1,0,77.9583,1,6,1,8,1
276,3,45,0,0,7.75,1,5,0,8,0
277,2,32,0,0,0.0,0,4,0,11,0
278,3,7,4,1,29.125,0,2,5,7,0
279,3,35,1,1,20.25,1,4,2,12,1
280,3,65,0,0,7.75,0,6,0,11,0
281,3,28,0,0,7.8542,0,4,0,11,0
282,3,16,0,0,9.5,0,3,0,11,0
283,3,19,0,0,8.05,0,4,0,11,1
284,1,32,0,0,26.0,0,4,0,11,0
285,3,33,0,0,8.6625,0,4,0,11,0
286,3,30,0,0,9.5,0,4,0,11,1
287,3,22,0,0,7.8958,0,4,0,11,0
288,2,42,0,0,13.0,0,5,0,11,1
289,3,22,0,0,7.75,1,4,0,8,1
290,1,26,0,0,78.85,1,4,0,8,1
291,1,19,1,0,91.0792,1,4,1,12,1
292,2,36,0,0,12.875,0,5,0,11,0
293,3,24,0,0,8.85,1,4,0,8,0
294,3,24,0,0,7.8958,0,4,0,11,0
295,1,32,0,0,27.7208,0,4,0,11,0
296,3,23,0,0,7.2292,0,4,0,11,0
297,1,2,1,2,151.55,1,1,3,8,0
298,1,32,0,0,30.5,0,4,0,11,1
299,1,50,0,1,247.5208,1,5,1,12,1
300,3,21,0,0,7.75,1,4,0,8,1
301,3,32,2,0,23.25,0,4,2,11,1
302,3,19,0,0,0.0,0,4,0,11,0
303,2,21,0,0,12.35,1,4,0,8,1
304,3,32,0,0,8.05,0,4,0,11,0
305,1,0,1,2,151.55,0,0,3,7,1
306,1,21,0,0,110.8833,1,4,0,8,1
307,1,17,1,0,108.9,1,3,1,12,1
308,2,30,1,0,24.0,0,4,1,11,0
309,1,30,0,0,56.9292,1,4,0,8,1
310,1,24,0,0,83.1583,1,4,0,8,1
311,1,18,2,2,262.375,1,3,4,8,1
312,2,26,1,1,26.0,1,4,2,12,0
313,3,28,0,0,7.8958,0,4,0,11,0
314,2,43,1,1,26.25,0,5,2,11,0
315,3,26,0,0,7.8542,1,4,0,8,1
316,2,24,1,0,26.0,1,4,1,12,1
317,2,54,0,0,14.0,0,5,0,3,0
318,1,31,0,2,164.8667,1,4,2,8,1
319,1,40,1,1,134.5,1,5,2,12,1
320,3,22,0,0,7.25,0,4,0,11,0
321,3,27,0,0,7.8958,0,4,0,11,0
322,2,30,0,0,12.35,1,4,0,8,1
323,2,22,1,1,29.0,1,4,2,12,1
324,3,32,8,2,69.55,0,4,10,11,0
325,1,36,0,0,135.6333,1,5,0,8,1
326,3,61,0,0,6.2375,0,6,0,11,0
327,2,36,0,0,13.0,1,5,0,12,1
328,3,31,1,1,20.525,1,4,2,12,1
329,1,16,0,1,57.9792,1,3,1,8,1
330,3,21,2,0,23.25,1,4,2,8,1
331,1,45,0,0,28.5,0,5,0,11,0
332,1,38,0,1,153.4625,0,5,1,11,0
333,3,16,2,0,18.0,0,3,2,11,0
334,1,35,1,0,133.65,1,4,1,12,1
335,3,32,0,0,7.8958,0,4,0,11,0
336,1,29,1,0,66.6,0,4,1,11,0
337,1,41,0,0,134.5,1,5,0,8,1
338,3,45,0,0,8.05,0,5,0,11,1
339,1,45,0,0,35.5,0,5,0,11,0
340,2,2,1,1,26.0,0,1,2,7,1
341,1,24,3,2,263.0,1,4,5,8,1
342,2,28,0,0,13.0,0,4,0,11,0
343,2,25,0,0,13.0,0,4,0,11,0
344,2,36,0,0,13.0,0,5,0,11,0
345,2,24,0,0,13.0,1,4,0,8,1
346,2,40,0,0,13.0,1,5,0,8,1
347,3,35,1,0,16.1,1,4,1,12,1
348,3,3,1,1,15.9,0,1,2,7,1
349,3,42,0,0,8.6625,0,5,0,11,0
350,3,23,0,0,9.225,0,4,0,11,0
351,1,32,0,0,35.0,0,4,0,11,0
352,3,15,1,1,7.2292,0,3,2,11,0
353,3,25,1,0,17.8,0,4,1,11,0
354,3,32,0,0,7.225,0,4,0,11,0
355,3,28,0,0,9.5,0,4,0,11,0
356,1,22,0,1,55.0,1,4,1,8,1
357,2,38,0,0,13.0,1,5,0,8,0
358,3,21,0,0,7.8792,1,4,0,8,1
359,3,21,0,0,7.8792,1,4,0,8,1
360,3,40,1,4,27.9,0,5,5,11,0
361,2,29,1,0,27.7208,0,4,1,11,0
362,3,45,0,1,14.4542,1,5,1,12,0
363,3,35,0,0,7.05,0,4,0,11,0
364,3,32,1,0,15.5,0,4,1,11,0
365,3,30,0,0,7.25,0,4,0,11,0
366,1,60,1,0,75.25,1,5,1,12,1
367,3,35,0,0,7.2292,1,4,0,12,1
368,3,21,0,0,7.75,1,4,0,8,1
369,1,24,0,0,69.3,1,4,0,10,1
370,1,25,1,0,55.4417,0,4,1,11,1
371,3,18,1,0,6.4958,0,3,1,11,0
372,3,19,0,0,8.05,0,4,0,11,0
373,1,22,0,0,135.6333,0,4,0,11,0
374,3,3,3,1,21.075,1,1,4,8,0
375,1,35,1,0,82.1708,1,4,1,12,1
376,3,22,0,0,7.25,1,4,0,8,1
377,1,27,0,2,211.5,0,4,2,11,0
378,3,20,0,0,4.0125,0,4,0,11,0
379,3,19,0,0,7.775,0,4,0,11,0
380,1,42,0,0,227.525,1,5,0,8,1
381,3,1,0,2,15.7417,1,1,2,8,1
382,3,32,0,0,7.925,0,4,0,11,0
383,1,35,1,0,52.0,1,4,1,12,1
384,3,32,0,0,7.8958,0,4,0,11,0
385,2,18,0,0,73.5,0,3,0,11,0
386,3,1,5,2,46.9,0,1,7,7,0
387,2,36,0,0,13.0,1,5,0,8,1
388,3,32,0,0,7.7292,0,4,0,11,0
389,2,17,0,0,12.0,1,3,0,8,1
390,1,36,1,2,120.0,0,5,3,11,1
391,3,21,0,0,7.7958,0,4,0,11,1
392,3,28,2,0,7.925,0,4,2,11,0
393,1,23,1,0,113.275,1,4,1,8,1
394,3,24,0,2,16.7,1,4,2,12,1
395,3,22,0,0,7.7958,0,4,0,11,0
396,3,31,0,0,7.8542,1,4,0,8,0
397,2,46,0,0,26.0,0,5,0,11,0
398,2,23,0,0,10.5,0,4,0,3,0
399,2,28,0,0,12.65,1,4,0,12,1
400,3,39,0,0,7.925,0,5,0,11,1
401,3,26,0,0,8.05,0,4,0,11,0
402,3,21,1,0,9.825,1,4,1,8,0
403,3,28,1,0,15.85,0,4,1,11,0
404,3,20,0,0,8.6625,1,4,0,8,0
405,2,34,1,0,21.0,0,4,1,11,0
406,3,51,0,0,7.75,0,5,0,11,0
407,2,3,1,1,18.75,0,1,2,7,1
408,3,21,0,0,7.775,0,4,0,11,0
409,3,21,3,1,25.4667,1,4,4,8,0
410,3,32,0,0,7.8958,0,4,0,11,0
411,3,32,0,0,6.8583,0,4,0,11,0
412,1,33,1,0,90.0,1,4,1,8,1
413,2,32,0,0,0.0,0,4,0,11,0
414,3,44,0,0,7.925,0,5,0,11,1
415,3,35,0,0,8.05,1,4,0,12,0
416,2,34,1,1,32.5,1,4,2,12,1
417,2,18,0,2,13.0,1,3,2,8,1
418,2,30,0,0,13.0,0,4,0,11,0
419,3,10,0,2,24.15,1,2,2,8,0
420,3,32,0,0,7.8958,0,4,0,11,0
421,3,21,0,0,7.7333,0,4,0,11,0
422,3,29,0,0,7.875,0,4,0,11,0
423,3,28,1,1,14.4,1,4,2,12,0
424,3,18,1,1,20.2125,0,3,2,11,0
425,3,32,0,0,7.25,0,4,0,11,0
426,2,28,1,0,26.0,1,4,1,12,1
427,2,19,0,0,26.0,1,4,0,8,1
428,3,32,0,0,7.75,0,4,0,11,0
429,3,32,0,0,8.05,0,4,0,11,1
430,1,28,0,0,26.55,0,4,0,11,1
431,3,35,1,0,16.1,1,4,1,12,1
432,2,42,1,0,26.0,1,5,1,12,1
433,3,17,0,0,7.125,0,3,0,11,0
434,1,50,1,0,55.9,0,5,1,11,0
435,1,14,1,2,120.0,1,3,3,8,1
436,3,21,2,2,34.375,1,4,4,8,0
437,2,24,2,3,18.75,1,4,5,12,1
438,1,64,1,4,263.0,0,6,5,11,0
439,2,31,0,0,10.5,0,4,0,11,0
440,2,45,1,1,26.25,1,5,2,12,1
441,3,20,0,0,9.5,0,4,0,11,0
442,3,25,1,0,7.775,0,4,1,11,0
443,2,28,0,0,13.0,1,4,0,13,1
444,3,32,0,0,8.1125,0,4,0,11,1
445,1,4,0,2,81.8583,0,1,2,7,1
446,2,13,0,1,19.5,1,3,1,8,1
